citekey,title,year,venue,url,matched_problems,matched_techs,grid,scenario,relevance_score,citation_count
cuml2025,ChemAgent: Self-updating Memories in Large Language Models Improves Chemical Reasoning,2025,ICLR,https://arxiv.org/abs/kuhIqeVg0e,Agent,,,Agent,30.0,0
curp2025,CodePlan: Unlocking Reasoning Potential in Large Language Models by Scaling Code-form Planning,2025,ICLR,https://arxiv.org/abs/dCPF1wlqj8,,,,LLM,0,0
cvqr2025,On the Complexity of Verifying Quantized GNNs with Readout,2025,NIPS,https://arxiv.org/abs/DP7kUjUltX,Agent|Quantization,Quantization,W×Q,Agent,41.0,0
cwbl2025,ChinaTravel: A Real-World Benchmark for Language Agents in Chinese Travel Planning,2025,ICLR,https://arxiv.org/abs/9dfRC2dq0R,Agent,,,Agent,35.0,0
daac2025,DynamicKV: Task-Aware Adaptive KV Cache Compression for Long Context LLMs,2025,ICLR,https://arxiv.org/abs/uHkfU4TaPh,KV Cache|Throughput,KV Cache,K×Q,LLM,28.0,0
dabm2025,DABstep: Data Agent Benchmark for Multi-step Reasoning,2025,NIPS,https://arxiv.org/abs/E0xUHr3iP8,Agent|Scalability,,,Agent,35.0,0
dadq2025,DilateQuant: Accurate and Efficient Diffusion Quantization via Weight Dilation,2025,ICLR,https://arxiv.org/abs/nAl4bz09Mv,Latency|Throughput|Quantization,Quantization,W×Q,LLM,46.0,0
dadr2025,DistRL: An Asynchronous Distributed Reinforcement Learning Framework for On-Device Control Agent,2025,ICLR,https://arxiv.org/abs/LPG8pPSfQD,Distributed Inference|Agent,,,Agent,30.0,0
dagq2025,DGQ: Distribution-Aware Group Quantization for Text-to-Image Diffusion Models,2025,ICLR,https://arxiv.org/abs/ZyNEr7Xw5L,Scalability|Quantization,Quantization,W×Q,LLM,28.0,0
daja2025,Defend against Jailbreak Attacks via Debate with Partially Perceptive Agents,2025,ICLR,https://arxiv.org/abs/STpxO1Siaq,Agent|Throughput,,,Agent,25.0,0
dari2025,Delay-Aware Reinforcement Learning: Insights From Delay Distributional Perspective,2025,ICLR,https://arxiv.org/abs/Y9cVrdYn10,Agent|Latency,,,Agent,20.0,0
dasm2025,Distilling LLM Agent into Small Models with Retrieval and Code Tools,2025,NIPS,https://arxiv.org/abs/VkicTqszOn,Agent,,W×D,Agent,20.0,0
datw2025,From Decoupling to Adaptive Transformation: a Wider Optimization Space for PTQ,2025,ICLR,https://arxiv.org/abs/JElN0LJMKB,Quantization,Quantization,W×Q,LLM,26.0,0
dbdm2025,DCcluster-Opt: Benchmarking Dynamic Multi-Objective Optimization for Geo-Distributed Data Center Workloads,2025,NIPS,https://arxiv.org/abs/AgTASkryb6,Distributed Inference|Agent|Latency|Scalability,,,Agent,35.0,0
dbir2025,Dense Backpropagation Improves Routing for Sparsely-Gated Mixture-of-Experts,2025,ICLR,https://arxiv.org/abs/huy8g3iKy0,Scalability|MoE,MoE,C×G,,31.0,0
dbit2025,Dense Backpropagation Improves Training for Sparse Mixture-of-Experts,2025,NIPS,https://arxiv.org/abs/jTUIo4Kl6u,MoE,MoE,C×G,,26.0,0
dbma2025,The Decrypto Benchmark for Multi-Agent Reasoning and Theory of Mind,2025,ICLR,https://arxiv.org/abs/kFoJXqiGKz,Agent,,S×G,Agent,45.0,0
dbme2025,DynMoLE: Boosting Mixture of LoRA Experts Fine-Tuning with a Hybrid Routing Mechanism,2025,ICLR,https://arxiv.org/abs/IpLXuqmP0C,Agent|MoE,MoE,C×G,Agent,31.0,0
dbrm2025,Decentralized Blockchain-based Robust Multi-agent Multi-armed Bandit,2025,ICLR,https://arxiv.org/abs/PA3MWNDD6O,Distributed Inference|Agent,,S×G,Agent,35.0,0
dcir2025,DuoAttention: Efficient Long-Context LLM Inference with Retrieval and Streaming Heads,2025,ICLR,https://arxiv.org/abs/cFu7ze7xUm,KV Cache|Latency|Quantization,KV Cache|Quantization,K×Q,LLM,31.0,0
dckg2025,DuetGraph: Coarse-to-Fine Knowledge Graph Reasoning with Dual-Pathway Global-Local Fusion,2025,NIPS,https://arxiv.org/abs/r029oluPS7,Agent|Throughput,,,Agent,20.0,0
dcmm2025,Detecting Out-of-Context Misinformation via Multi-Agent and Multi-Grained Retrieval,2025,ICLR,https://arxiv.org/abs/xS6uKkJ9Uz,Agent,,S×G,Agent,35.0,0
dcoc2025,Distributed Constrained Optimal Consensus Under a Directed Graph,2025,ICLR,https://arxiv.org/abs/CLVMAUDeJz,Distributed Inference|Agent,,,Agent,25.0,0
dcp2025,Dobi-SVD: Differentiable SVD for LLM Compression and Some New Perspectives,2025,ICLR,https://arxiv.org/abs/kws76i5XB8,Latency|Throughput|Quantization,Quantization,W×Q,LLM,28.0,0
dcqs2025,Rate/Distortion Constrained Model Quantization for Efficient Storage and Inference,2025,ICLR,https://arxiv.org/abs/LnKDcqOfgy,Latency|Quantization,Quantization,W×Q,LLM,28.0,0
dctr2025,Dualformer: Controllable Fast and Slow Thinking by Learning with Randomized Reasoning Traces,2025,ICLR,https://arxiv.org/abs/bmbRCRiNDu,Agent,,,Agent,20.0,0
dcua2025,Distributed In-Context Learning under Non-IID Among Clients,2025,ICLR,https://arxiv.org/abs/7H1jbTaOIn,Distributed Inference|Agent,,,Agent,20.0,0
dcve2025,Dimensional Collapse in VQVAEs: Evidence and Remedies,2025,NIPS,https://arxiv.org/abs/vJtnJfS2mQ,Quantization,Quantization,W×Q,LLM,26.0,0
dddi2025,DRIFT: Dynamic Rule-Based Defense with Injection Isolation for Securing LLM Agents,2025,NIPS,https://arxiv.org/abs/oY1Xnt83oJ,Agent,,,Agent,25.0,0
ddfc2025,dFCExpert: Learning Dynamic Functional Connectivity Patterns with Modularity and State Experts,2025,ICLR,https://arxiv.org/abs/sTI75sFQkn,Scalability|MoE,MoE,C×G,,31.0,0
ddfd2025,DevFD : Developmental Face Forgery Detection by Learning Shared and Orthogonal LoRA Subspaces,2025,NIPS,https://arxiv.org/abs/Xpuci4SV06,MoE,MoE,C×G,,26.0,0
ddlr2025,DynaPipe: Dynamic Layer Redistribution for Efficient Serving of LLMs with Pipeline Parallelism,2025,NIPS,https://arxiv.org/abs/D6w7wIN360,KV Cache|Distributed Inference|Latency|Throughput,KV Cache,K×Q,LLM,53.0,0
ddoc2025,$\text{D}_{2}\text{O}$: Dynamic Discriminative Operations for Efficient Long-Context Inference of Large Language Models,2025,ICLR,https://arxiv.org/abs/HzBfoUdjHt,KV Cache|Throughput,KV Cache,K×Q,LLM,23.0,0
ddri2025,DRIMA: Differential Reward Interaction for Cooperative Multi-Agent Reinforcement Learning,2025,ICLR,https://arxiv.org/abs/MUTTUDKb3M,Distributed Inference|Agent|Scalability,,S×G,Agent,40.0,0
ddsl2025,DISCO: Efficient Diffusion Solver for Large-Scale Combinatorial Optimization Problems,2025,ICLR,https://arxiv.org/abs/6JDpWJrjyK,Latency|Throughput|Scalability,,,LLM,25.0,0
ddtd2025,DyGNeX : Efficient Distributed Training of Dynamic Graph Neural Networks with Cross-Time-Window Scheduling,2025,ICLR,https://arxiv.org/abs/daVCPIBCtQ,Distributed Inference|Throughput|Scalability,,,LLM,25.0,0
ddwf2025,DyFlow: Dynamic Workflow Framework for Agentic Reasoning,2025,NIPS,https://arxiv.org/abs/0pbUfmwNTy,Agent,,,Agent,30.0,0
dema2025,Distributed Epigraph Form Multi-Agent Safe Reinforcement Learning,2025,ICLR,https://arxiv.org/abs/oQUtBLM8Bo,Distributed Inference|Agent,,S×G,Agent,45.0,0
derc2025,DeepGate4: Efficient and Effective Representation Learning for Circuit Design at Scale,2025,ICLR,https://arxiv.org/abs/b10lRabU9W,Agent|Scalability,,,Agent,25.0,0
desa2025,DSMentor: Enhancing Data Science Agents with Curriculum Learning and Online Knowledge Accumulation,2025,ICLR,https://arxiv.org/abs/gL1cNK2UEW,,,,Agent,0,0
dfas2025,DeFT: Decoding with Flash Tree-attention for Efficient Tree-structured LLM Inference,2025,ICLR,https://arxiv.org/abs/2c7pfOqu9k,KV Cache|Agent|Latency|Speculative Decoding,KV Cache|Speculative Decoding,K×Q,Agent,36.0,0
dffo2025,DoF: A Diffusion Factorization Framework for Offline Multi-Agent Reinforcement Learning,2025,ICLR,https://arxiv.org/abs/OTFKVkxSlL,Distributed Inference|Agent|Scalability,,S×G,Agent,40.0,0
dfge2025,Learning from Delayed Feedback in Games via Extra Prediction,2025,NIPS,https://arxiv.org/abs/FFEFRQGlsS,Agent|Latency|Throughput,,,Agent,25.0,0
dfsd2025,DySpec: Faster Speculative Decoding with Dynamic Token Tree Structure,2025,ICLR,https://arxiv.org/abs/orr5uPZY28,Latency|Throughput|Scalability|Speculative Decoding,Speculative Decoding,S×G,LLM,51.0,0
dgep2025,Discriminator-Guided Embodied Planning for LLM Agent,2025,ICLR,https://arxiv.org/abs/TjP1d8PP8l,Agent,,,Agent,35.0,0
dguc2025,DRAGON: Guard LLM Unlearning in Context via Negative Detection and Reasoning,2025,NIPS,https://arxiv.org/abs/FNuul0hlin,Agent|Scalability,,,Agent,20.0,0
dhda2025,Decoder-Hybrid-Decoder Architecture for Efficient Reasoning with Long Generation,2025,NIPS,https://arxiv.org/abs/twSE0WA1vh,Agent|Throughput|Scalability,PD Separation|vLLM,,Agent,46.0,0
dhsm2025,SWGA: A Distributed Hyperparameter Search Method for Time Series Prediction Models,2025,ICLR,https://arxiv.org/abs/xTrAA3UKPa,Distributed Inference|Scalability,,,,25.0,0
diaw2025,Can Dependencies Induced by LLM-Agent Workflows Be Trusted?,2025,NIPS,https://arxiv.org/abs/rDqZjKIeda,Agent|Throughput,,,Agent,25.0,0
dill2025,DebUnc: Improving Large Language Model Agent Communication Via Uncertainty Metrics,2025,ICLR,https://arxiv.org/abs/ByLO7p0oCF,Agent,,C×G,Agent,20.0,0
dllr2025,DynaAct: Large Language Model Reasoning with Dynamic Action Spaces,2025,NIPS,https://arxiv.org/abs/R24ZqNwoDz,Agent|Latency|Scalability,,,Agent,25.0,0
dlml2025,Dynamic-LLaVA: Efficient Multimodal Large Language Models via Dynamic Vision-language Context Sparsification,2025,ICLR,https://arxiv.org/abs/hzVpZDrW73,KV Cache|Agent,KV Cache|PD Separation,K×Q,Agent,26.0,0
dlsd2025,AGC-Drive: A Large-Scale Dataset for Real-World Aerial-Ground Collaboration in Driving Scenarios,2025,NIPS,https://arxiv.org/abs/N07WGSPh9l,Agent|Scalability,,,Agent,25.0,0
dlsq2025,Dissecting Bit-Level Scaling Laws in Quantizing Vision Generative Models,2025,ICLR,https://arxiv.org/abs/7X2BFPl18T,Quantization,Quantization,W×Q,LLM,26.0,0
dmab2025,Distributed Multi-Agent Bandits Over Erdős-Rényi Random Networks,2025,NIPS,https://arxiv.org/abs/aI3Oacoyi6,Distributed Inference|Agent,,S×G,Agent,45.0,0
dmal2025,DrugAgent: Multi-Agent Large Language Model-Based Reasoning for Drug-Target Interaction Prediction and Repurposing,2025,ICLR,https://arxiv.org/abs/PQrkWvQSL0,Agent,,S×G,Agent,45.0,0
dmet2025,Dynamic Mixture of Experts: An Auto-Tuning Approach for Efficient Transformer Models,2025,ICLR,https://arxiv.org/abs/T26f9z2rEe,MoE,MoE,C×G,LLM,36.0,0
dmin2025,Dynamical modeling for real-time inference of nonlinear latent factors in multiscale neural activity,2025,ICLR,https://arxiv.org/abs/eR1119aUlL,Scalability,PD Separation,W×Q,,23.0,0
dmnl2025,Dynamical modeling of nonlinear latent factors in multiscale neural activity with real-time inference,2025,NIPS,https://arxiv.org/abs/jOHgjZaGqd,Scalability,PD Separation,W×Q,,23.0,0
dmpm2025,"Dynamic Modeling of Patients, Modalities and Tasks via Multi-modal Multi-task Mixture of Experts",2025,ICLR,https://arxiv.org/abs/NJxCpMt0sf,MoE,MoE,C×G,多模态,36.0,0
dmso2025,Decision-making with speculative opponent model-aided value function factorization,2025,ICLR,https://arxiv.org/abs/yZdPpKTO9R,Agent|Speculative Decoding,Speculative Decoding,S×G,Agent,33.0,0
dnlc2025,KV-Distill: Nearly Lossless Context Compression for Transformers,2025,ICLR,https://arxiv.org/abs/p7vJ3wsm34,KV Cache|Throughput|Scalability,KV Cache,K×Q,LLM,23.0,0
dnlg2025,Direct Numerical Layout Generation for 3D Indoor Scene Synthesis via Spatial Reasoning,2025,NIPS,https://arxiv.org/abs/Qku7g56aWf,Agent,,,Agent,20.0,0
dnls2025,Turn-by-Turn Driving Navigation: Leveraging Sequence Model for Real-time Audio Instructions,2025,ICLR,https://arxiv.org/abs/2JXe3RprGS,Scalability|MoE,MoE,C×G,,36.0,0
dols2025,Deep Distributed Optimization for Large-Scale Quadratic Programming,2025,ICLR,https://arxiv.org/abs/hzuumhfYSO,Distributed Inference|Throughput|Scalability,,,LLM,35.0,0
dpac2025,Decentralized primal-dual actor-critic with entropy regularization for safe multi-agent reinforcement learning,2025,ICLR,https://arxiv.org/abs/luS9zeDpeO,Agent|Scalability,,S×G,Agent,35.0,0
dpad2025,Diffusion-Based Planning for Autonomous Driving with Flexible Guidance,2025,ICLR,https://arxiv.org/abs/wM2sfVgMDH,Agent|Scalability,,,Agent,20.0,0
dpda2025,Efficient Diversity-Preserving Diffusion Alignment via Gradient-Informed GFlowNets,2025,ICLR,https://arxiv.org/abs/Aye5wL6TCn,Throughput|Scalability,,,LLM,20.0,0
dppo2025,Discrete GCBF Proximal Policy Optimization for Multi-agent Safe Optimal Control,2025,ICLR,https://arxiv.org/abs/1X1R7P6yzt,Distributed Inference|Agent,,S×G,Agent,35.0,0
dqbu2025,DiverseAgentEntropy: Quantifying Black-Box LLM Uncertainty through Diverse Perspectives and Multi-Agent Interaction,2025,ICLR,https://arxiv.org/abs/AJAStQYZaL,Agent,,S×G,Agent,30.0,0
dqcm2025,Durable Quantization Conditioned Misalignment Attack on Large Language Models,2025,ICLR,https://arxiv.org/abs/41uZB8bDFh,Throughput|Quantization,Quantization,W×Q,LLM,41.0,0
dqmn2025,DiscQuant: A Quantization Method for Neural Networks Inspired by Discrepancy Theory,2025,ICLR,https://arxiv.org/abs/vJmpg0exYA,Quantization,Quantization,W×Q,LLM,44.0,0
drdc2025,DartQuant: Efficient Rotational Distribution Calibration for LLM Quantization,2025,NIPS,https://arxiv.org/abs/LfcfwlLCHM,Scalability|Quantization,Quantization,W×Q,LLM,28.0,0
drdw2025,Different Rates for Different Weights: Decoupled Relative Learning Rate Schedules,2025,ICLR,https://arxiv.org/abs/BUpdp5gETF,Scalability|MoE,MoE,C×G,,31.0,0
drme2025,Dynamic Routing Mixture of Experts for Enhanced Multi-Label Image Classification,2025,ICLR,https://arxiv.org/abs/gFUomIaycw,MoE,MoE,C×G,,36.0,0
drsa2025,Deliberate Reasoning for LLMs as Structure-aware Planning with Accurate World Model,2025,ICLR,https://arxiv.org/abs/BaMkS6E2Du,Agent,,,Agent,30.0,0
drtb2025,Disentangling Reasoning Tokens and Boilerplate Tokens For Language Model Fine-tuning,2025,ICLR,https://arxiv.org/abs/uO0itv7XFa,Agent|Throughput,,,Agent,25.0,0
dsab2025,DSBench: How Far Are Data Science Agents from Becoming Data Science Experts?,2025,ICLR,https://arxiv.org/abs/DSsSPr0RZJ,Agent,,,Agent,20.0,0
dsam2025,M-VAR: Decoupled Scale-wise Autoregressive Modeling for High-Quality Image Generation,2025,ICLR,https://arxiv.org/abs/BYoN2c0o6M,,,,LLM,0,0
dscp2025,"Don’t Discard, but Keep It Small: Context-Preserving KV Cache Compression with Importance-Aware Adaptive Precision",2025,ICLR,https://arxiv.org/abs/CRQ8JuQDEd,KV Cache|Latency|Throughput|Quantization,KV Cache|Quantization,K×Q,LLM,76.0,0
dses2025,ROOT DEFENCE STRATEGIES: ENSURING SAFETY OF LLM AT THE DECODER LEVEL,2025,ICLR,https://arxiv.org/abs/PL6e9HkVxk,Agent|Speculative Decoding,Speculative Decoding|PD Separation,S×G,Agent,34.0,0
dsis2025,Distributed Speculative Inference (DSI): Speculation Parallelism for Provably Faster Lossless Language Model Inference,2025,ICLR,https://arxiv.org/abs/cJd1BgZ9CS,Distributed Inference|Latency|Speculative Decoding,Speculative Decoding,S×G,LLM,43.0,0
dspl2025,Domain-Specific Pruning of Large Mixture-of-Experts Models with Few-shot Demonstrations,2025,NIPS,https://arxiv.org/abs/Vvb27TQzO9,Throughput|Scalability|MoE,MoE,C×G,LLM,23.0,0
dsrf2025,DSRF: A Dynamic and Scalable Reasoning Framework for Solving RPMs,2025,NIPS,https://arxiv.org/abs/I3Ep3gQUaw,Agent|Scalability,,,Agent,20.0,0
dtca2025,Decentralized Transformers with Centralized Aggregation are Sample-Efficient Multi-Agent World Models,2025,ICLR,https://arxiv.org/abs/4E0lCxBD0U,Agent|Scalability,,S×G,Agent,35.0,0
dtpa2025,Direct Post-Training Preference Alignment for Multi-Agent Motion Generation Model Using Implicit Feedback from Pre-training Demonstrations,2025,ICLR,https://arxiv.org/abs/8UFG9D8xeU,Agent|Scalability,,S×G,Agent,40.0,0
dulc2025,Distributed Unlearning with Lossy Compression,2025,ICLR,https://arxiv.org/abs/lHIPPUjwp1,Distributed Inference|Throughput|Quantization,Quantization,W×Q,LLM,33.0,0
dume2025,DUMoE: Deep Unfolding Mixture-of-Experts for Compressive Imaging,2025,ICLR,https://arxiv.org/abs/AqRwoHvKtN,Scalability|MoE,MoE,C×G,,28.0,0
dwyb2025,Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?,2025,NIPS,https://arxiv.org/abs/iUjGNJzrF1,Agent,,S×G,Agent,35.0,0
eabp2025,Embodied Web Agents: Bridging Physical-Digital Realms for Integrated Agent Intelligence,2025,NIPS,https://arxiv.org/abs/8wyCbbzF4Q,Agent|Scalability,,,Agent,30.0,0
eaci2025,Efficient Low Rank Attention for Long-Context Inference in Large Language Models,2025,NIPS,https://arxiv.org/abs/Mc0eJHZhW5,KV Cache|Throughput|Quantization,KV Cache|Quantization|PD Separation,K×Q,LLM,52.0,0
eahm2025,EMOS: Embodiment-aware Heterogeneous Multi-robot Operating System with LLM Agents,2025,ICLR,https://arxiv.org/abs/Ey8KcabBpB,Agent,,,Agent,30.0,0
eall2025,"IDEA: Enhancing the Rule Learning Ability of Large Language Model Agent through Induction, Deduction, and Abduction",2025,ICLR,https://arxiv.org/abs/td5nvlhJdc,Agent,,,Agent,20.0,0
eans2025,EddyFormer: Accelerated Neural Simulations of Three-Dimensional Turbulence at Scale,2025,NIPS,https://arxiv.org/abs/bla5qx2sYe,Scalability,,,,20.0,0
eapc2025,CoPS: Empowering LLM Agents with Provable Cross-Task Experience Sharing,2025,ICLR,https://arxiv.org/abs/9W6Z9IeLzc,Agent,,,Agent,20.0,0
eara2025,Emergent Risk Awareness in Rational Agents under Resource Constraints,2025,NIPS,https://arxiv.org/abs/wryhlhA8QI,Agent,,,Agent,25.0,0
easa2025,Mind2Web 2: Evaluating Agentic Search with Agent-as-a-Judge,2025,NIPS,https://arxiv.org/abs/AUaW6DS9si,Agent|Scalability,,,Agent,20.0,0
eaua2025,Enhancing GUI Agent with Uncertainty-Aware Self-Trained Evaluator,2025,NIPS,https://arxiv.org/abs/cuUsD5FJbe,Agent,,,Agent,20.0,0
ebpb2025,Envisioning Beyond the Pixels: Benchmarking Reasoning-Informed Visual Editing,2025,NIPS,https://arxiv.org/abs/T3UksaPK64,Agent|Throughput,,,Agent,20.0,0
ebpc2025,Exploring and Benchmarking Planning Capabilities of Large Language Models,2025,ICLR,https://arxiv.org/abs/koza5fePTs,Agent,,,Agent,20.0,0
ebpe2025,EmbodiedCity: A Benchmark Platform for Embodied Agent in Real-world City Environment,2025,ICLR,https://arxiv.org/abs/y15LAM4u0A,Agent,,,Agent,20.0,0
ebss2025,EEGMamba: Bidirectional State Space Model with Mixture of Experts for EEG Multi-task Classification,2025,ICLR,https://arxiv.org/abs/13PclvlVBa,Latency|MoE,MoE,C×G,,41.0,0
ebtd2025,Elastic and Balanced End-to-end Training of Dynamic LLMs with DynMo,2025,ICLR,https://arxiv.org/abs/hzQcilRe2v,Distributed Inference|Throughput|Scalability|MoE,MoE,C×G,LLM,51.0,0
ecam2025,The Omni-Expert: A Computationally Efficient Approach to Achieve a Mixture of Experts in a Single Expert Model,2025,NIPS,https://arxiv.org/abs/mVRphqQKnb,MoE,MoE,C×G,,36.0,0
ecba2025,Estimating cognitive biases with attention-aware inverse planning,2025,NIPS,https://arxiv.org/abs/lNPo3FAMsl,Agent|Scalability,,,Agent,25.0,0
ecpm2025,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,2025,ICLR,https://arxiv.org/abs/LkzuPorQ5L,Agent|Scalability,,C×G,Agent,35.0,0
ecrr2025,Enhancing Compositional Reasoning in CLIP via Reconstruction and Alignment of Text Descriptions,2025,NIPS,https://arxiv.org/abs/6uKIm4bfEe,Agent,PD Separation,,Agent,23.0,0
ecsa2025,Explicit-Constrained Single Agent for Enhanced Task-Solving in LLMs,2025,ICLR,https://arxiv.org/abs/GO4Sd6LUuY,Agent,,,Agent,25.0,0
edbe2025,EmpathyRobot: A Dataset and Benchmark for Empathetic Task Planning of Robotic Agent,2025,ICLR,https://arxiv.org/abs/F6h0v1CTpC,Agent,,,Agent,30.0,0
ediq2025,Enhancing Descriptive Image Quality Assessment with a Large-scale Multi-modal Dataset,2025,ICLR,https://arxiv.org/abs/kWGHZuW5yJ,Agent|Scalability,,,Agent,20.0,0
edml2025,Efficiently Democratizing Medical LLMs for 50 Languages via a Mixture of Language Family Experts,2025,ICLR,https://arxiv.org/abs/JSB171dSUU,Throughput|Scalability|MoE,MoE,C×G,LLM,36.0,0
edpv2025,SSR: Enhancing Depth Perception in Vision-Language Models via Rationale-Guided Spatial Reasoning,2025,NIPS,https://arxiv.org/abs/SOc0tHCewe,Agent|Scalability,,,Agent,20.0,0
edrs2025,On the Effectiveness of Discrete Representations in Sparse Mixture of Experts,2025,ICLR,https://arxiv.org/abs/RVPZJpmyGU,MoE|Quantization,MoE|Quantization,C×G,LLM,62.0,0
edt2025,Evolutionary Distributed Training,2025,NIPS,https://arxiv.org/abs/tESKKiKhVp,Distributed Inference|Agent,,,Agent,25.0,0
eead2025,EcoAct: Economic Agent Determines When to Register What Action,2025,ICLR,https://arxiv.org/abs/OyWreBlvIE,Agent,,,Agent,20.0,0
eeec2025,EEEC: Emotion-Experiencer-Event-Cause multi-step chain reasoning for Emotion-Cause Pair Extraction,2025,ICLR,https://arxiv.org/abs/EJTeOf8iG0,Agent|Scalability,,,Agent,20.0,0
eehm2025,On Expert Estimation in Hierarchical Mixture of Experts: Beyond Softmax Gating Functions,2025,ICLR,https://arxiv.org/abs/MidXrlkVu1,Scalability|MoE,MoE,C×G,,41.0,0
eell2025,E2LLM: Encoder Elongated Large Language Models for Long-Context Understanding and Reasoning,2025,ICLR,https://arxiv.org/abs/tVfvKrboVY,Agent,PD Separation,,Agent,23.0,0
eemm2025,Enhanced Expert Merging for Mixture-of-Experts in Graph Foundation Models,2025,NIPS,https://arxiv.org/abs/fyqqd1lHDb,Throughput|MoE,MoE,C×G,LLM,31.0,0
eeqm2025,eQMARL: Entangled Quantum Multi-Agent Reinforcement Learning for Distributed Cooperation over Quantum Channels,2025,ICLR,https://arxiv.org/abs/cR5GTis5II,Distributed Inference|Agent,,S×G,Agent,45.0,0
eesn2025,GUI Exploration Lab: Enhancing Screen Navigation in Agents via Multi-Turn Reinforcement Learning,2025,NIPS,https://arxiv.org/abs/XVm8KOO3Ri,Agent|Throughput,,W×L,Agent,20.0,0
efcs2025,HiFC: High-efficiency Flash-based KV Cache Swapping for Scaling LLM Inference,2025,NIPS,https://arxiv.org/abs/onhjdWCxZY,KV Cache|Latency|Throughput,KV Cache|vLLM,K×Q,LLM,69.0,0
egac2025,CASD: Enhancing Generation Accuracy via Context-Aware Speculative Decoding,2025,ICLR,https://arxiv.org/abs/g3D27bfmrf,Speculative Decoding,Speculative Decoding,S×G,,36.0,0
egaq2025,"Evaluating the Generalization Ability of Quantized LLMs: Benchmark, Analysis, and Toolbox",2025,ICLR,https://arxiv.org/abs/ClkfwM3STw,Quantization,Quantization,W×Q,LLM,36.0,0
egca2025,Evaluating Generalization Capabilities of LLM-Based Agents in Mixed-Motive Scenarios Using Concordia,2025,NIPS,https://arxiv.org/abs/yG4Fj0voJZ,Agent,,,Agent,20.0,0
egoc2025,"EMERGENCE OF GROUNDED, OPTIMALLY COMPOSITIONAL SPATIAL LANGUAGE AMONG HOMOGENEOUS AGENTS",2025,ICLR,https://arxiv.org/abs/nyuaoVnVCa,Agent,,,Agent,20.0,0
egud2025,Talk2Event: Grounded Understanding of Dynamic Scenes from Event Cameras,2025,NIPS,https://arxiv.org/abs/fxERuSBpfQ,Agent|Latency|Scalability|MoE,MoE,C×G,Agent,28.0,0
egvg2025,Mora: Enabling Generalist Video Generation via A Multi-Agent Framework,2025,ICLR,https://arxiv.org/abs/S7F7IMGX4O,Agent,,S×G,Agent,30.0,0
ehtl2025,Estimating Hitting Times Locally at Scale,2025,NIPS,https://arxiv.org/abs/uQmUjgR8Er,Scalability,,,,20.0,0
eibs2025,Effective Interplay between Sparsity and Quantization: From Theory to Practice,2025,ICLR,https://arxiv.org/abs/wJv4AIt4sK,Throughput|Scalability|Quantization,Quantization,W×Q,LLM,33.0,0
eieb2025,EditInfinity: Image Editing with Binary-Quantized Generative Models,2025,NIPS,https://arxiv.org/abs/vhzqdxuSB3,Quantization,Quantization,W×Q,LLM,23.0,0
elad2025,Enhancing Language Model Agents using Diversity of Thoughts,2025,ICLR,https://arxiv.org/abs/ZsP3YbYeE9,Agent,,,Agent,20.0,0
elps2025,EasySpec: Layer-Parallel Speculative Decoding for Efficient Multi-GPU Utilization,2025,NIPS,https://arxiv.org/abs/RGUcF6pIZN,KV Cache|Distributed Inference|Latency|Throughput|Speculative Decoding,Speculative Decoding,S×G,LLM,71.0,0
emac2025,Self-Evolving Multi-Agent Collaboration Networks for Software Development,2025,ICLR,https://arxiv.org/abs/4R71pdPBZp,Agent,,S×G,Agent,30.0,0
emaw2025,Enhancing Multi-Agent Learning in Real-World Interactive Environments through Process Reward Decomposition,2025,ICLR,https://arxiv.org/abs/E2CR6hmV1I,Distributed Inference|Agent,,S×G,Agent,35.0,0
emer2025,EMOE: Expansive Matching of Experts for Robust Uncertainty Based Rejection,2025,ICLR,https://arxiv.org/abs/YFDM6uMMSE,MoE,MoE,C×G,,23.0,0
emse2025,ElasticMM: Efficient Multimodal LLMs Serving with Elastic Multimodal Parallelism,2025,NIPS,https://arxiv.org/abs/Zd6VyjmN1S,Distributed Inference|Throughput,,,LLM,25.0,0
epda2025,EconAI: Preference-driven Agents Simulating Economic Activities via Large Language Model,2025,ICLR,https://arxiv.org/abs/HzG3A0VD1k,Agent,,,Agent,20.0,0
epma2025,Learning Equilibria from Data: Provably Efficient Multi-Agent Imitation Learning,2025,NIPS,https://arxiv.org/abs/QNtJO0jTf3,Agent,,S×G,Agent,30.0,0
eprm2025,Enhancing LLM Planning for Robotics Manipulation through Hierarchical Procedural Knowledge Graphs,2025,NIPS,https://arxiv.org/abs/8LO0vLRXpz,Agent|Scalability,,,Agent,30.0,0
epsm2025,Efficient Expert Pruning for Sparse Mixture-of-Experts Language Models: Enhancing Performance and Reducing Inference Costs,2025,ICLR,https://arxiv.org/abs/TTUtPIpaol,MoE,MoE,C×G,LLM,26.0,0
eqat2025,EfficientQAT: Efficient Quantization-Aware Training for Large Language Models,2025,ICLR,https://arxiv.org/abs/6Mdvq0bPyG,Scalability|Quantization,Quantization,W×Q,LLM,41.0,0
eras2025,Evolutionary Reasoning Does Not Arise in Standard Usage of Protein Language Models,2025,NIPS,https://arxiv.org/abs/nR9S0Iet8O,Agent|Scalability,,,Agent,20.0,0
